category,name,price,quantity
Food,"Tuscan Bean Soup",2.49,17
Audio,"Wireless Earbuds",69.99,65
Food,"Ground Cinnamon",1.99,97
Pets,"Pet Water Fountain with Filtration",39.99,94
Clothing,"Trainers with Mesh Inserts",69.99,97
Food,"Samoas Cookie Mix",5.59,70
Food,"Organic Coconut Flakes",3.49,67
Food,"Kale Salad with Lemon Dressing",4.99,34
Food,"Organic Green Tea",4.29,3
Travel,"Travel Size Toiletry Bottles",9.99,70
Health,"Essential Oil Diffuser",34.99,64
Food,"Pepperoni Pizza Roll-Ups",5.99,73
Food,"Cream Cheese",2.69,51
Food,"Raspberry Lemonade Mix",3.99,59
"Home Improvement","Pressure Washer Accessories Kit",39.99,85
Kitchen,"Personal Blender with Travel Lid",34.99,84
Food,"Aged White Cheddar Popcorn",2.99,67
Food,"Caramel Apple Taffy",1.99,60
Food,"Banana Nut Muffins",4.49,36
Food,"Mixed Nuts",5.99,30
Kitchen,Spiralizer,22.99,70
Food,"Butternut Squash Soup",3.49,22
Home,"LED Under Cabinet Lighting",29.99,51
Food,"Sesame Oil",3.99,88
Food,"Peach Preserves",3.79,18
Food,"Sriracha Hot Chili Sauce",2.99,38
Clothing,"Party Mini Dress",69.99,13
Electronics,"Adjustable Stand for Tablets and Smartphones",19.99,16
Pets,"Pet Food Storage Container",24.99,34
Kitchen,"Electric Can Opener",29.99,10
Food,"Himalayan Pink Salt",1.99,90
Clothing,"Faux Leather Leggings",49.99,87
Food,"Maple Pecan Granola",4.49,98
Food,"Peanut Butter Chocolate Clusters",2.99,41
Food,"Oven-Baked Sweet Potato Fries",3.99,12
Kitchen,"Tea Infuser",12.99,15
Beauty,"Travel Hair Straightener",29.99,1
Kitchen,"Coffee Maker",89.99,32
Kitchen,"Aeropress Coffee Maker",29.99,51
Food,"Savory Oatmeal Cups",1.99,14
Travel,"Travel Eye Mask with Ear Plugs",15.99,80
Food,"Organic Cucumber",1.29,40
"Art Supplies","Crafting Kit",29.99,66
Pets,"Pet Grooming Brush",19.99,62
Food,"Smashed Avocado with Lime",2.49,32
Accessories,"Children's Backpack",29.99,4
Audio,"Noise-Canceling Headphones",119.99,64
"Home Improvement","Non-Toxic Concrete Sealer",39.99,51
Books,"Field Journal",14.99,30
Food,"Cranberry Pecan Granola",3.99,29
Clothing,"Warm Knit Beanie",19.99,96
Food,"Sweet Cherry Tomatoes",2.99,47
Food,"Sliced Bell Peppers",3.99,8
Food,"Coconut Curry Lentil Soup",3.99,87
Pets,"Pet Grooming Gloves",9.99,54
Health,"Cordless Water Flosser",49.99,15
Office,"Magnetic Whiteboard",34.99,22
Food,"Raisin Cinnamon Granola",3.79,48
Automotive,"Car Sunshade",19.99,56
Food,"Smashed Avocado with Lime",2.49,32
Outdoor,"Portable Hammock",27.99,81
Toys,"Toy Building Set",29.99,62
Clothing,"Leather Crossbody Bag",89.99,9
Crafts,"DIY Lip Balm Kit",22.99,79
Home,"Wire Shelving Unit",69.99,43
Food,"Organic Coconut Water",2.79,17
Food,"Salsa Verde",3.49,24
Fitness,"High-Quality Yoga Mat",34.99,33
Food,"Carrot Sticks",2.49,56
Food,"Nutty Granola Clusters",2.49,86
Food,"Flavored Rice Cakes",2.49,10
Outdoor,"Portable Camping Shower",39.99,18
Safety,"Noise Cancelling Ear Muffs",24.99,63
Pets,"Personalized Pet ID Tags",9.99,82
Food,"Vanilla Pudding Mix",1.29,51
Fitness,"Weighted Jump Rope with Counter",14.99,67
Outdoor,"Bicycle Repair Kit",14.99,75
Food,"Chocolate Fudge Ice Cream",5.99,54
Food,"Beef Sirloin Steak",15.99,61
Kitchen,"Chopping Board",29.99,48
Food,"Sliced Strawberries",4.99,4
Food,"Sweet Potato Tots",4.29,83
Food,"Mediterranean Chickpea Bowl",6.49,48
Home,"Decorative Wall Tapestry",34.99,37
Food,"Black Bean Spaghetti",3.99,49
Electronics,"Smartphone Photography Tripod",29.99,45
Food,"Thai Basil Fried Rice",5.99,82
Food,"Jalapeño Cornbread",3.29,92
Clothing,"Cotton Pajama Set",49.99,28
Food,"Beef Enchilada Casserole",8.99,40
Food,"Honey Butter Popcorn",2.99,81
Food,"Pepper Jack Cheese Slices",3.49,35
Food,"Pineapple Chunks (canned)",2.29,53
Kitchen,"Pizza Stone",29.99,61
Toys,"Creative Puzzle Game",19.99,69
Garden,"Watering Can with Nozzle",19.99,8
Pets,"Pet Waterer with Filtration",39.99,17
Outdoor,"Folding Backpack Chair",49.99,77
Food,"Cinnamon Roll Kit",6.89,85
Outdoor,"Outdoor Inflatable Pool",149.99,84
Pets,"Pet Hair Vacuum Cleaner Attachment",14.99,85
Food,"Red Lentil Pasta",3.99,42
Food,"Zesty Garlic Marinade",4.49,11
Food,Thyme,2.49,56
Crafts,"DIY Candle Making Kit",22.99,94
Electronics,"Smartphone Projector",29.99,24
Fitness,"Sports Bottle",15.99,10
Garden,"Children's Garden Tool Set",22.99,25
Food,Mushrooms,2.99,24
Food,"Spiced Pumpkin Soup",3.99,48
Food,"Pumpkin Spice Cookies",3.29,34
Fitness,"Water Bottle with Built-in Fruit Infuser",18.99,28
Outdoor,"Outdoor String Lights",24.99,61
Food,"Organic Honeycrisp Apples",1.99,78
Outdoor,"Portable Air Pump",19.99,6
Food,"Maple Pecan Oatmeal Cookies",3.99,52
Food,"Mushroom Soup (canned)",2.49,22
Food,"Granola Clusters",4.99,30
Food,"Cheesy Cauliflower Bake",5.49,95
Clothing,"Knitted Infinity Scarf",29.99,47
Clothing,"Breezy Off-The-Shoulder Top",34.99,23
Garden,"Indoor Plants",19.99,39
Pets,"Cat Tree",99.99,58
Clothing,"Classic White T-Shirt",19.99,33
Food,"Italian Marinara Sauce",3.29,70
Tools,"Repair Tool Set for Home Improvement",29.99,34
Food,"Lemon Lime Sparkling Water",1.99,17
Health,"Breathable Face Mask Set",14.99,30
Clothing,"High-Low Hem Tee",22.99,6
Travel,"Compressible Packing Cubes",29.99,95
Food,"Chickpea Flour",3.29,12
Audio,"Portable Bluetooth Speaker",49.99,92
Food,"Dried Apricots",3.79,43
Electronics,"Wireless HDMI Transmitter",79.99,82
Food,"Honey Sriracha Chicken Bites",7.99,67
Pets,"Pet Hair Removal Roller",10.99,83
Food,"Fresh Basil",1.99,18
Pets,"Pet Activity Tracker",59.99,35
Travel,"Travel Pillow",22.99,100
Electronics,"Solar Charger",39.99,43
Kitchen,"Induction Cooktop",89.99,29
Food,"Pineapple Salsa",4.29,96
Accessories,"Laptop Sleeve",24.99,55
Office,"Mechanical Pencil Set",19.99,44
Food,"Peanut Butter Banana Smoothie",3.99,73
Clothing,"Classic Baseball Cap",24.99,37
Food,"Caramelized Onion Dip",3.99,53
Food,"Chicken Parmesan Dinner Kit",14.99,6
Food,"Balsamic Vinaigrette",2.69,10
Office,"LED Desk Lamp with USB Charging",39.99,94
Audio,"Bluetooth Headphones",79.99,6
Travel,"Travel Orthopedic Pillow",24.99,80
Food,"Sesame Oil",3.99,26
Food,"Teriyaki Chicken Wings",10.99,42
Food,"Peach Slices (canned)",2.49,37
Outdoor,"Insulated Cooler",39.99,52
Office,"Under Desk Footrest",29.99,51
Fitness,"Sports Water Bottle with Infuser",19.99,41
Kitchen,Spiralizer,22.99,23
Health,"Portable Massage Table",199.99,56
Home,"Digital Thermostat",59.99,94
Food,"Sweet BBQ Dipping Sauce",3.49,18
Food,"Garlic and Herb Cream Cheese",3.49,14
Pets,"Pet Training Pads",24.99,27
Food,"Sesame Garlic Noodles",3.49,47
Food,"Spaghetti Sauce",2.99,94
Electronics,"Adjustable Stand for Tablets and Smartphones",19.99,39
Automotive,"Car Diagnostic Scanner",49.99,56
Food,"Spicy Tuna Rolls",6.49,36
Clothing,"Stylish Combat Boots",99.99,98
